Date d’entrée;N° Inventaire;Cote;Auteurs;Intitulé de l’ouvrage;Edition;Catégorie
20 /10/2018;95;500ASC;Georges ASCH et BERNARD POUSSERY;Les capteurs en instrumentation industrielle;DUNOD 8e éd 2017;Electronique, Capteurs
20 /10/2018;96;500COL;MICHEL COLOMBIE ET COL;Matériaux métalliques, propriétés, mis en forme et applications industrielles des métaux et alliages;DUNOD 2e éd.2017;Chimie, Sciences des matériaux
20 /10/2018;97;500PIR;CONSTANTIN PIRON;Mécanique quantique/ Bases et applications;PPUR, Lausanne, 1998;Physique, Mécanique quantique
20 /10/2018;98;500PIR;CONSTANTIN PIRON;Mécanique quantique/ Bases et applications;PPUR, Lausanne, 1998;Physique, Mécanique quantique
20 /10/2018;99;500PIR;CONSTANTIN PIRON;Mécanique quantique/ Bases et applications;PPUR, Lausanne, 1998;Physique, Mécanique quantique
20 /10/2018;100;500BIE;MICHEL BIERLAIRE;Introduction à l’optimisation différentiable.;PPUR, Lausanne, 2013;Mathématiques, Analyse
20/10/2018;101;500BIE;MICHEL BIERLAIRE;Introduction à l’optimisation différentiable.;PPUR, Lausanne, 2013;Mathématiques, Analyse
20/10/2018;102;500BIE;MICHEL BIERLAIRE;Introduction à l’optimisation différentiable.;PPUR, Lausanne, 2013;Mathématiques, Analyse
22/10/2018;103;000CHE;CHEVALIER;Guide du dessinateur industriel;HACHETTE 4e éd. 2016;Dessin industriel
22/10/2018;104;000CHE;CHEVALIER;Guide du dessinateur industriel;HACHETTE 4e éd. 2016;Dessin industriel
22/10/2018;105;000PAX;JOHN PAXTON;The stateman’s tear-book;ST MANS PRESS new YORK 1980;Anglais, Politique
22/10/2018;106;000DID;DAVID E. APTER;L’Etat contre l’Etat;Ed NOUVEAUX 1988;Politique
22/10/2018;107;300VIE;SERGE A. VIEUX;L’administration ZAIROISE;Ed. BERGER LEVRAULT 1974;Politique, Histoire
22/10/2018;108;300VIE ex1;SERGE A. VIEUX;L’administration ZAIROISE;Ed. BERGER LEVRAULT 1974;Politique, Histoire
22/10/2018;109;000ANG;ACCT;Vocabulaire de la publicité;HACHETTE Paris 1976;Marketing, Langues
22/10/2018;110;000ANG;ACCT;Vocabulaire de la publicité;HACHETTE Paris 1976;Marketing, Langues
22/10/2018;111;000RDC;RDC;Constitution de la RDC modifiée par la loi N°11/002  du 20 JANVIER 2011 portant révision de certains articles de la constitution de la RDC;Journal officiel rdc;Droit
22/10/2018;112;000RDC;RDC;Constitution de la RDC modifiée par la loi N°11/002  du 20 JANVIER 2011 portant révision de certains articles de la constitution de la RDC;Journal officiel rdc;Droit
22/10/2018;113;000CEI;CEI;Loi n°04/028 du 24 Décembre2004 portant identification et enrôlement des électeurs en RDC;Journal officiel 2004;Droit
22/10/2018;114;000VAN;PETER VAN ROY et SEIF HARIDI;Programmation, concepts, techniques et modèles;DUNODO Paris 2007;Informatique
22/10/2018;115;000MIC;MICROSOFT;Commercialisé seulement avec un nouveau PC  être efficace avec Microsoft 97;MICROSOFT CORPORATION;Economie, Informatique
22/10/2018;116;000CHO;D.N. CHAROFAS;L’influence des ordinateurs sur la structure des entreprises;Entreprises modernes d’édition;Economie, Informatique
22/10/2018;117;000UNI;UNILU;Carte postale de l’Université de Lubumbashi;Lubumbashi 1997;Education
22/10/2018;118;000UNT;UNAZA;Rapport général premier congrès ordinaire 1973;UNAZA Kinshasa 1973;Education, Histoire
22/10/2018;119;000CPE;CPE;Organisation de l’Enseignement supérieur et universitaire au ZAIRE 1985-1986.;CPE Kinshasa 1986;Education, Histoire
22/10/2018;120;000UNI;Université Officielle du Congo;Programmes des cours 1965-1966;Kinshasa;Education, Histoire
22/10/2018;121;000UNI;Université Officielle du Congo;Programmes des cours 1965-1966;Kinshasa;Education, Histoire
23/10/2018;122;000ONU;ONU;Rapport annuel 1978;New York;Histoire, Politique
23/10/2018;123;000UNI;UNILU;Programmes des cours;PUL;Education, Histoire
23/10/2018;124;100RRU;JACQUES RUSS;Nouvel abrégé de philosophie;ARMAND COLIN Paris 2005;Philosophie
23/10/2018;125;100HOT;GILBERT HOTTOIS ET MARCEL VOISIN;Philosophie, morale et société;Ed. de l’université de Bruxelles;Philosophie
23/10/2018;126;100PAR;Jean M.V. Parys;Petite introduction à l’éthique;LOYOLA;Philosophie, Ethique
23/10/2018;127;100GOD;CHRISTIAN GODIN;La philosophie antiquité, moyen âge et renaissance pour les nuls;Ed. FIRT 2008;Philosophie, Histoire
23/10/2018;128;100PHI;PAUL ORTEGAT, S.J.;Philosophie de la religion, synthèse critique des systèmes contemporains en fonction d’un réalisme personnaliste et communautaire;Edition de l’institut Supérieur de philosophie 1948 Paris;Philosophie, Religion
23/10/2018;129;100HAL;LEON E. et HALKIN;Initiation à la critique historique;HARMAND COLIN Paris 1973;Histoire
23/10/2018;130;100PLA;PLATON;La République;Les belles lettres 1961;Philosophie
23/10/2018;131;100HAM;Jean HAMBURGER;La philosophie des sciences aujourd’hui;GAUTHIER VILLARS Paris 1986;Philosophie, Science
23/10/2018;132;100LEL;G. LELARGE;18 leçons pour réconcilier éthique et performance;Maxima Paris 2011;Ethique
23/10/2018;133;100EXI;BERNARD ILUNGA;L’excellence de l’homme, essais sur l’éthique de Paul Ricoeur;Editions de l’espoir Lubumbashi 2004 ;Ethique
23/10/2018;134;300UNI;UNILU;Histoire immédiate, récits de libération d’une ville, cas de LUBUMBASHI 1996-1997;Presse universitaires de lubumbashi;Histoire
23/10/2018;135;300GAH;B. BOUTROS GHALI;L’organisation de l’unité AFRICAINE;Armand COLIN;Politique, Histoire
23/10/2018;136;300DEQ;Paul DEQUEKER;Guide pratique pour le calcul des prix unitaire pour les travaux des bâtiments.;CRP Kinshasa 1986;Economie, Génie civil
23/10/2018;137;300PRO;PROUDHON;Qu’est ce que la propriété ?;FLAMARION 1966;Droit
23/10/2018;138;300ESA;BERNARD ESAMBERT;Le 3e conflit mondial;Ed PLON 1977;Politique
23/10/2018;139;300BUL;D. VAN DEN BULCKE et Cie;Politiques d’investissement, réductions ou cessations d’activités de multinationales en Europe.;PUF Paris 1978;Economie, Politique
